sample_ID	sample_type	order	sample_site	feeding_habits	bird_type	num_seqs	Group	sample_type2
MDX016-2019-NC-BM-209-DNA-D35-20200707.D35.R1	Cloacal_swab	Ciconiiformes	DC	Carnivorous	Wader	663446689	Wader-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-210-DNA-D36-20200707.D36.R1	Pharyngeal_swab	Ciconiiformes	DC	Carnivorous	Wader	683995773	Wader-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-211-DNA-D37-20200707.D37.R1	Cloacal_swab	Ciconiiformes	DC	Carnivorous	Wader	775958143	Wader-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-212-DNA-D38-20200707.D38.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	635832873	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-213-DNA-D39-20200707.D39.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	824011172	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-214-DNA-D40-20200707.D40.R1	Pharyngeal_swab	Charadriiformes	DC	Carnivorous	Wader	731238410	Wader-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-215-RNA-C01-20200722.C01.R1	Cloacal_swab	Charadriiformes	DC	Carnivorous	Wader	614327563	Wader-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-216-RNA-C02-20200722.C02.R1	Pharyngeal_swab	Falconiformes	DC	Carnivorous	Raptor	723047837	Raptor-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-217-RNA-C03-20200722.C03.R1	Cloacal_swab	Falconiformes	DC	Carnivorous	Raptor	753143513	Raptor-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-218-RNA-C04-20200722.C04.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	729102791	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-219-RNA-C05-20200722.C05.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	585315399	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-220-RNA-C06-20200722.C06.R1	Pharyngeal_swab	Ciconiiformes	DC	Carnivorous	Wader	774133179	Wader-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-221-RNA-C07-20200722.C07.R1	Cloacal_swab	Ciconiiformes	DC	Carnivorous	Wader	312617893	Wader-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-222-RNA-C08-20200722.C08.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	628558818	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-223-RNA-C09-20200722.C09.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	836629145	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-234-RNA-C20-20200722.C20.R1	Pharyngeal_swab	Ciconiiformes	DC	Carnivorous	Wader	657101544	Wader-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-235-RNA-C21-20200722.C21.R1	Cloacal_swab	Ciconiiformes	DC	Carnivorous	Wader	618387750	Wader-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-236-RNA-C22-20200722.C22.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	545893283	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-237-RNA-C23-20200722.C23.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	2809381542	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-238-RNA-C24-20200722.C24.R1	Pharyngeal_swab	Strigiformes	DC	Carnivorous	Raptor	767842792	Raptor-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-239-RNA-C25-20200722.C25.R1	Cloacal_swab	Strigiformes	DC	Carnivorous	Raptor	667491534	Raptor-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-240-RNA-C26-20200722.C26.R1	Pharyngeal_swab	Strigiformes	DC	Carnivorous	Raptor	725757149	Raptor-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-241-RNA-C27-20200722.C27.R1	Cloacal_swab	Strigiformes	DC	Carnivorous	Raptor	658180436	Raptor-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-242-RNA-C28-20200722.C28.R1	Pharyngeal_swab	Strigiformes	DC	Carnivorous	Raptor	637715894	Raptor-Carnivorous	Pharyngeal_swab
MDX016-2019-NC-BM-243-RNA-C29-20200722.C29.R1	Cloacal_swab	Strigiformes	DC	Carnivorous	Raptor	581914058	Raptor-Carnivorous	Faeces-like_sample
MDX016-2019-NC-BM-244-RNA-C30-20200722.C30.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	549724692	Natatores-Herbivorous	Pharyngeal_swab
MDX016-2019-NC-BM-245-RNA-C31-20200722.C31.R1	Cloacal_swab	Anseriformes	DC	Herbivorous	Natatores	626373478	Natatores-Herbivorous	Faeces-like_sample
MDX016-2019-NC-BM-246-RNA-C32-20200722.C32.R1	Pharyngeal_swab	Anseriformes	DC	Herbivorous	Natatores	666316207	Natatores-Herbivorous	Pharyngeal_swab
