sample_ID	sample_type	order	sample_site	feeding_habits	bird_type	num_seqs	Group	sample_type2
MDX016-NCJD-19BM-120-RNA-A33-20200518.A33.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	573617535	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-121-RNA-A34-20200518.A34.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	492201803	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-122-RNA-A35-20200518.A35.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	539153453	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-123-RNA-A36-20200518.A36.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	474550353	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-124-RNA-A37-20200518.A37.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	768528103	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-125-RNA-A38-20200518.A38.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	561931020	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-126-RNA-A39-20200518.A39.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	634151587	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-127-RNA-A40-20200518.A40.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	527804488	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-128-RNA-D01-20200525.D01.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	514383362	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-129-RNA-D02-20200525.D02.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	433467228	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-130-RNA-D03-20200525.D03.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	429017838	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-131-RNA-D04-20200525.D04.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	435863961	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-132-RNA-D05-20200525.D05.R1	Pharyngeal_swab	Podicipediformes	HH	Carnivorous	Natatores	330138352	Natatores-Carnivorous	Pharyngeal_swab
MDX016-NCJD-19BM-133-RNA-D06-20200525.D06.R1	Cloacal_swab	Podicipediformes	HH	Carnivorous	Natatores	412463774	Natatores-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BM-134-RNA-D07-20200525.D07.R1	Pharyngeal_swab	Podicipediformes	HH	Carnivorous	Natatores	429614383	Natatores-Carnivorous	Pharyngeal_swab
MDX016-NCJD-19BM-135-RNA-D08-20200525.D08.R1	Cloacal_swab	Podicipediformes	HH	Carnivorous	Natatores	412516911	Natatores-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BM-136-RNA-D09-20200525.D09.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	431924337	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-137-RNA-D10-20200525.D10.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	382848056	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-138-RNA-D11-20200525.D11.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	438224068	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-139-RNA-D12-20200525.D12.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	431926167	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-140-RNA-D13-20200525.D13.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	435189624	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-141-RNA-D14-20200525.D14.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	437930053	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-142-RNA-D15-20200525.D15.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	464605316	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-143-RNA-D16-20200525.D16.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	425421354	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-144-RNA-D17-20200525.D17.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	483914014	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-145-RNA-D18-20200525.D18.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	413556947	Natatores-Herbivorous	Pharyngeal_swab
